,household_id,id,name,sex,age,occupation,father,mother,paternal_grandfather,maternal_grandfather,spouse,siblings,children,relation_to_declarant,role,owner
409,145-Ar-9,145-Ar-9-S5,NN,,age lost,,,,,,,[],[],,slave,
410,145-Ar-9,145-Ar-9-S6,Isidora alias Hediste,,23,,,,,,,[],[],,slave,
411,145-Ar-9,145-Ar-9-S7,Aphrodous alias Parinous,female,6,,,Isidora [no.6],,,,[],[],,slave,
412,145-Ar-9,145-Ar-9-S8,NN,,age lost,,,,,,,[],[],,slave,
413,145-Ar-10,145-Ar-10-d1,Didis,female,,,Ptolemaios,,,,,[],[],self,family member,
414,145-Ar-10,145-Ar-10-FM1,Pasion,male,21,idiotes,Aphrodisios,Didarous,Heron,Dionysios,,['145-Ar-10-FM2'],[],,family member,
415,145-Ar-10,145-Ar-10-FM2,Philadelphos,male,19,,Aphrodisios,Didarous,Heron,Dionysios,,"['no.l', '145-Ar-10-FM1']",[],,family member,
416,145 Ar 11,145 Ar 11-d1,Heras,female,,,Lysimachos,Tamystha,Herodion,,,[],[],self,family member,
417,145-Ar-12,145-Ar-12-d1,Petheus,male,76,,Petheus,Tamystha,Pnepheros,,145-Ar-12-FM1,[],['145-Ar-12-FM2'],self,family member,
418,145-Ar-12,145-Ar-12-FM1,Aphrodous,female,70,,Apis,,Papontos,,145-Ar-12-d1,[],['145-Ar-12-FM2'],wife,family member,
419,145-Ar-12,145-Ar-12-FM2,Diodora,female,33,,145-Ar-12-d1,145-Ar-12-FM1,,,,[],[],daughter,family member,
420,145-Ar-12,145-Ar-12-S1,Tasoucharion,,32,,,,,,,[],[],,slave,Diodora [no.3]
421,145-AM3,145-AM3-d1,NN,male,,,Sambathion,,,,,[],[],self,family member,
422,145 Ar 14,145 Ar 14-d1,Didyme,,,,,,,,,[],[],self,family member,
423,145-Ar-15,145-Ar-15-d3,Sarapammon alias Andronikos,,,,,Sarapammon,,,,[],[],self,family member,
424,145-Ar-15,145-Ar-15-d2,Ptolemaios,,,,,Sarapammon,,,,[],[],self,family member,
425,145-Ar-15,145-Ar-15-d1,My... alias Sarapion,,,,,Sarapammon,,,,[],[],self,family member,
426,145 Ar 16,145 Ar 16-d1,Longinus,male,,,Petheus,,,,,[],[],self,family member,
427,145-AM7,145-AM7-d1,Sisois,male,45,,Orsenouphis,Tauris,Sisois,Nemesas,145-AM7-FM1,[],"['145-AM7-FM2', '145-AM7-FM3', '145-AM7-FM4']",self,family member,
428,145-AM7,145-AM7-FM1,Tepheros,female,36,,Mysthes,Tenaus,Papontos,,145-AM7-d1,[],"['145-AM7-FM2', '145-AM7-FM3', '145-AM7-FM4']",wife,family member,
429,145-AM7,145-AM7-FM2,Sisois,male,age lost,,145-AM7-d1,145-AM7-FM1,,,,[],[],son,family member,
430,145-AM7,145-AM7-FM3,Dioskoros,male,14,,145-AM7-d1,145-AM7-FM1,,,,[],[],son,family member,
431,145-AM7,145-AM7-FM4,Dioskoros,male,14,,145-AM7-d1,145-AM7-FM1,,,,[],[],son,family member,
432,145-AM8,145-AM8-d1,Sarapas,male,48,,Hatres,Taes,Papous,Sarapas,,[],['145-AM8-FM1'],self,family member,
433,145-AM8,145-AM8-FM1,Sabinos,male,58,,145-AM8-d1,Philous,Papous,,,[],['145-AM8-FM2'],son,family member,
434,145-AM8,145-AM8-FM2,Alkes,male,16,,145-AM8-FM1,Herois,,Apollonios,,[],[],,family member,
435,145-AM9,145-AM9-d1,Harphesis,male,30,farmer,Thermouthis,,,Harphesis,145-AM9-FM4,"['145-AM9-FM1', '145-AM9-FM2', '145-AM9-FM3']",[],self,family member,
436,145-AM9,145-AM9-FM1,Hatres,male,22,,Thermouthis,,,Harphesis,145-AM9-FM5,"['145-AM9-d1', '145-AM9-FM5']",[],brother,family member,
437,145-AM9,145-AM9-FM2,Orseus,male,20,,Thermouthis,,,Harphesis,,['145-AM9-d1'],[],brother,family member,
438,145-AM9,145-AM9-FM3,Hermes,male,16,,Thermouthis,,,Harphesis,,['145-AM9-d1'],[],brother,family member,
439,145-AM9,145-AM9-FM4,NN,female,20,,,,,,145-AM9-d1,[],[],wife,family member,
440,145-AM9,145-AM9-FM5,Heras,female,14,,Thermouthis,,,Harphesis,145-AM9-FM1,['145-AM9-FM1'],[],,family member,
441,145-AM9,145-AM9-FM6,Ponneis apator,female,16,,NN,,,,,[],[],,family member,
442,145-Ar-20,145-Ar-20-d1,Panephremmis,male,32,priest,Anchophis,145-Ar-20-FM4,Panephremmis,Horos,145-Ar-20-FM3,['145-Ar-20-FM3'],"['145-Ar-20-FM1', '145-Ar-20-FM2']",self,family member,
443,145-Ar-20,145-Ar-20-FM1,Panephremmis,male,8,,145-Ar-20-d1,Thases,Panephremmis,Stotoetis,,[],[],son,family member,
444,145-Ar-20,145-Ar-20-FM2,Stotoetis,male,1,,145-Ar-20-d1,Thases,Panephremmis,Stotoetis,,[],[],son,family member,
445,145-Ar-20,145-Ar-20-FM3,Thases,female,2[.],,Anchophis,Stotoetis,Panephremmis,Horos,145-Ar-20-d1,['145-Ar-20-d1'],[],sister and wife,family member,
446,145-Ar-20,145-Ar-20-FM4,Stotoetis,female,55,,Panephremmis,,Paous,,,[],['145-Ar-20-d1'],mother,family member,
447,145-Ar-20,145-Ar-20-NK1,Segathis,female,[.]8,,Stotoetis,Thases,Stotoetis,Satabous,,[],[],,free non-kin,
448,145-Ar-21,145-Ar-21-d3,Heron the younger,,,,,Heron,,,,[],[],self,family member,
449,145-Ar-21,145-Ar-21-d2,Heron the elder,,,,,Heron,,,,[],[],self,family member,
450,145-Ar-21,145-Ar-21-d1,Apollo(nios?),,,,,Heron,,,,[],[],self,family member,
451,145-Ar-22,145-Ar-22-d1,Thermoutharion,female,51?,,katoikos,,,,,[],"['145-Ar-22-FM1', '145-Ar-22-FM2']",self,family member,
452,145-Ar-22,145-Ar-22-FM1,NN,male,age lost,,NN,145-Ar-22-d1,,,,[],[],son,family member,
453,145-Ar-22,145-Ar-22-FM2,NN,male,26,,NN,145-Ar-22-d1,,,,[],[],son,family member,
454,145-Ar-22,145-Ar-22-FM3,NN alias NN [m.],,age lost,,,,,,,[],[],,family member,
455,145-Ar-23,145-Ar-23-d1,Polydeukes,male,,,Sotas,Heraklous,Maron,Dioskoros,,[],[],self,family member,
456,145-Ar-23,145-Ar-23-FM1,Ptolemaios,male,4[.],,Mystes,Theonis,,,,[],"['145-Ar-23-FM3', '145-Ar-23-FM4', '145-Ar-23-FM5']",,family member,
457,145-Ar-23,145-Ar-23-FM2,Thaisas,female,28,,Dionysios,Thasion,Didymos,,,[],"['145-Ar-23-FM3', '145-Ar-23-FM4', '145-Ar-23-FM5']",,family member,
458,145-Ar-23,145-Ar-23-FM3,Satyros,male,6,,145-Ar-23-FM1,145-Ar-23-FM2,,,,[],[],,family member,
459,145-Ar-23,145-Ar-23-FM4,Thaisarion,female,3,,145-Ar-23-FM1,145-Ar-23-FM2,,,,[],[],,family member,
460,145-Ar-23,145-Ar-23-FM5,Thasion,female,1,,145-Ar-23-FM1,145-Ar-23-FM2,,,,[],[],,family member,
461,145 Ar 24,145 Ar 24-d1,Sambathion,female,,,Diodoros,Isidora,Petesouchos,,,['145 Ar 24-FM1'],[],self,family member,
462,145 Ar 24,145 Ar 24-FM1,Ptolemaios,male,35,,Diodoros,Isidora,Petesouchos,,,['145 Ar 24-d1'],['145 Ar 24-FM2'],brother,family member,
463,145 Ar 24,145 Ar 24-FM2,Dioskoros,male,3 or 13,,145 Ar 24-FM1,Anoubiaina,,,,[],[],,family member,
464,145-Ar 25,145-Ar 25-d1,Thermoutharion,female,,,M,,,,,[],[],self,family member,
465,145-He-l,145-He-l-d1,Petesouchos,male,42,,Pisoitis,Thenammeneus,,,145-He-l-FM1,[],"['145-He-l-FM2', '145-He-l-FM3', '145-He-l-FM4']",self,family member,
466,145-He-l,145-He-l-FM1,Tausiris,female,34,,Pareitis,,,,145-He-l-d1,[],"['145-He-l-FM2', '145-He-l-FM3', '145-He-l-FM4']",wife,family member,
467,145-He-l,145-He-l-FM2,Pnephoros,male,17,,145-He-l-d1,145-He-l-FM1,,,,[],[],son,family member,
468,145-He-l,145-He-l-FM3,Psenamounis,male,5,,145-He-l-d1,145-He-l-FM1,,,,[],[],son,family member,
469,145-He-l,145-He-l-FM4,Pnephoros,male,9,,145-He-l-d1,145-He-l-FM1,,,,[],[],son,family member,
470,145-He 2,145-He 2-d1,Serempis,male,50,,Patermouthis,Thenp...,Siris,,145-He 2-FM1,[],"['145-He 2-FM2', '145-He 2-FM5', '145-He 2-FM6', '145-He 2-FM4']",self,family member,
471,145-He 2,145-He 2-FM1,Thenosiris,female,54,,Psenosiris,,,,145-He 2-d1,[],"['145-He 2-FM2?', '145-He 2-FM7']",wife,family member,
472,145-He 2,145-He 2-FM2,Patermouthis,male,2[.],,145-He 2-d1,145-He 2-FM1?,,,145-He 2-FM3,[],[],son,family member,
473,145-He 2,145-He 2-FM3,Thenamounis,female,16,,Psenamounis,,,,145-He 2-FM2,[],[],,family member,
474,145-He 2,145-He 2-FM4,Taas,female,age not given,,145-He 2-d1,Tetemouthis,,,,[],[],daughter,family member,
475,145-He 2,145-He 2-FM5,Nouns,male,30,,145-He 2-d1,Thennoupis,,,,['145-He 2-FM6'],[],son,family member,
